name,address_street_address,address_locality,address_region,address_postcode,lat,lng,email_address,website_address,minicom,notes,provides_face_to_face,provides_telephone,provides_web,created_at,updated_at,telephone_en,telephone_cy,region_england,region_northern_ireland,region_scotland,region_wales,website_address_text,notes_cy,debt_advice_locator_organisation_standard_id,display_in_accredited_list,standard_ids
Citizens Advice Greater Manchester,Langworthy Centre451 Liverpool Street,SALFORD,,M6 5QQ,53.48378,-2.29684,,,,,TRUE,FALSE,FALSE,,24/8/2023,,,TRUE,FALSE,FALSE,FALSE,,,,,4
Citizens Advice West Somerset,"The Lane Centre,Market House Lane,",MINEHEAD,Somerset,TA24 5NW,51.206221953050985,-3.4779441722105964,,https://citizensadvicewestsomerset.org.uk/,,,TRUE,FALSE,FALSE,,11/11/2025,0800 802 1808,,TRUE,FALSE,FALSE,FALSE,,,,,4
Citizens Advice Liverpool (Walton),37/39 Walton Road,LIVERPOOL,Merseyside,L4 4AD,53.4311,-2.97601,,https://www.citizensadviceliverpool.org.uk,,,TRUE,FALSE,FALSE,,3/3/2026,0808 278 7840,,TRUE,FALSE,FALSE,FALSE,,,,,4
Citizens Advice Liverpool,"Liverpool Innovation Park, Digital Way, Edge Lane",Liverpool,Merseyside,L7 9NJ,53.40889,-2.93433,,https://www.citizensadviceliverpool.org.uk,,,TRUE,FALSE,FALSE,,2/3/2026,0808 278 7840,,TRUE,FALSE,FALSE,FALSE,,,,,4
Citizens Advice Northumberland (Hexham),"The Community Centre, Gilesgate,",HEXHAM,Northumberland,NE46 3NP,54.97257893770952,-2.1032163498686236,,https://www.citizensadvicenorthumberland.org.uk,,,TRUE,FALSE,FALSE,,9/7/2025,08082787944,,TRUE,FALSE,FALSE,FALSE,,,,,4
Citizens Advice Northumberland (Berwick),5 Tweed Street,BERWICK-UPON-TWEED,Northumberland,TD15 1NG,55.77249,-2.00941,,https://www.citizensadvicenorthumberland.org.uk,,,TRUE,FALSE,FALSE,,9/7/2025,08082787944,,TRUE,FALSE,FALSE,FALSE,,,,,4
Citizens Advice Northumberland (Ashington),Registry Office Post Office Chambers Station Road,ASHINGTON,Northumberland,NE63 8RH,55.18316,-1.57394,,https://www.citizensadvicenorthumberland.org.uk,,,TRUE,FALSE,FALSE,,9/7/2025,08082787944,,TRUE,FALSE,FALSE,FALSE,,,,,4
Citizens Advice Northumberland (Blyth),"Unit 9/10 Sextant HouseFreehold St ,",BLYTH,Northumberland,NE24 2BA,55.12747,-1.50418,,https://www.citizensadvicenorthumberland.org.uk,,,TRUE,FALSE,FALSE,,9/7/2025,08082787944,,TRUE,FALSE,FALSE,FALSE,,,,,4
Citizens Advice Northumberland (Amble),"The Fourways,Bridge Street,",AMBLE,Northumberland,NE65 0DR,55.3338,-1.58267,,https://www.citizensadvicenorthumberland.org.uk,,,TRUE,FALSE,FALSE,,9/7/2025,08082787944,,TRUE,FALSE,FALSE,FALSE,,,,,4
Citizens Advice Northumberland (Cramlington),Hub at Cramlington Forum Way Cramlington,CRAMLINGTON,Northumberland,NE23 6YB,55.08471,-1.5936008400781312,,https://www.citizensadvicenorthumberland.org.uk,,,TRUE,FALSE,FALSE,,9/7/2025,08082787944,,TRUE,FALSE,FALSE,FALSE,,,,,4
Citizens Advice Northumberland (Morpeth),Morpeth Comrades Club 4C Market Place,MORPETH,,NE61 1HG,55.16809,-1.69018,,https://www.citizensadvicenorthumberland.org.uk,,,TRUE,FALSE,FALSE,,10/9/2025,08082787944,,TRUE,FALSE,FALSE,FALSE,,,,,4
Citizens Advice Northumberland (Alnwick),Adult Learning Centre Lindisfarne Middle School Lindisfarne Road,ALNWICK,Northumberland,NE66 1AX,55.40582,-1.7015,,https://www.citizensadvicenorthumberland.org.uk,,,TRUE,FALSE,FALSE,,9/7/2025,08082787944,,TRUE,FALSE,FALSE,FALSE,,,,,4
Citizens Advice Northumberland (Prudhoe),"The Manors, Adderlane Road",Prudhoe,,NE42 5ET,54.96313,-1.83973,,https://www.citizensadvicenorthumberland.org.uk,,,TRUE,FALSE,FALSE,,9/7/2025,0808 278 7944,,TRUE,FALSE,FALSE,FALSE,,,,,4
Bedlington,East Bedlington Community Centre 16-17 Station Road,Bedlington,,NE22 7JN,55.13923750291638,-1.5702751524364005,,www.citizensadvicenorthumberland.org.uk,,,TRUE,FALSE,FALSE,,9/7/2025,0808 278 7944,,TRUE,FALSE,FALSE,FALSE,,,,,4
Haltwhistle,Haltwhistle Community Hub First Floor - Room 3 Mechanics Institute Westgate,Haltwhistle,,NE49 0AX,54.9697,-2.4618,,https://www.citizensadvicenorthumberland.org.uk/,,,TRUE,FALSE,FALSE,,9/7/2025,0808 278 7944,,TRUE,FALSE,FALSE,FALSE,,,,,4
Citizens Advice County Durham (Spennymoor),71 High Street,SPENNYMOOR,County Durham,DL16 6BB,54.69835,-1.60376,,https://www.citizensadvicecd.org.uk,,,TRUE,FALSE,FALSE,,8/12/2025,08082787821,,TRUE,FALSE,FALSE,FALSE,,,,,4
Citizens Advice County Durham (Seaham),"Shakespeare House,Shakespeare Street,",Seaham,,SR7 7JB,54.835745,-1.332755,,https://www.citizensadvicecd.org.uk,,,TRUE,FALSE,FALSE,,4/12/2025,0808 2787821,,TRUE,FALSE,FALSE,FALSE,,,,,4
Citizens Advice County Durham (Durham City),Durham City Methodist Church North Road,DURHAM,County Durham,DH1 4SF,54.77784,-1.58249,,https://www.citizensadvicecd.org.uk,,,TRUE,FALSE,FALSE,,4/12/2025,08082787821,,TRUE,FALSE,FALSE,FALSE,,,,,4
Citizens Advice County Durham (Stanley),"The Venue, Wear Road,",STANLEY,,DH9 6LU,54.867395,-1.6974550000000002,,https://www.citizensadvicecd.org.uk,,,TRUE,FALSE,FALSE,,4/12/2025,08082787821,,TRUE,FALSE,FALSE,FALSE,,,,,4
Citizens Advice Somerset,"Citizens Advice Somerset, St. Mary's House, Magdalene Street",Taunton,Somerset,TA1 1SB,51.015706000642965,-3.099660366008521,,https://www.citizensadvicesomerset.org.uk,,,TRUE,FALSE,FALSE,,28/7/2025,0808 278 7842,,TRUE,FALSE,FALSE,FALSE,,,,,4
Citizens Advice South Hams,"Follaton House,Plymouth Road,",Totnes,Devon,TQ9 5EZ,50.43237,-3.711545,,https://southhamscab.org.uk/,,,TRUE,FALSE,FALSE,,28/1/2026,0808 278 79 48,,TRUE,FALSE,FALSE,FALSE,,,,,4
Newton Abbot (Teignbridge) Citizens Advice,36-38 Market Walk,NEWTON ABBOT,Devon,TQ12 2RX,50.53051,-3.61105,,https://citizensadviceteignbridge.org.uk,,,TRUE,FALSE,FALSE,,11/12/2025,0808 278 7997,,TRUE,FALSE,FALSE,FALSE,,,,,4
Citizens Advice Torbay,29 Palace Avenue,PAIGNTON,Devon,TQ3 3EQ,50.43559443304511,-3.5695405016999926,,https://www.citizensadvicetorbay.org.uk,,,TRUE,FALSE,FALSE,,5/2/2026,0808 2787859,,TRUE,FALSE,FALSE,FALSE,,,,,4
Plymouth Citizens Advice,"3rd Floor Cobourg House, 32 Mayflower Street (Office address, See below for drop in address)",PLYMOUTH,Devon,PL1 1QX,50.37369,-4.14075,,https://www.citizensadviceplymouth.org.uk,,,TRUE,FALSE,FALSE,,18/2/2026,08082787910,,TRUE,FALSE,FALSE,FALSE,,,,,4
Citizens Advice Cornwall (Saltash),"Ground Floor,18 Belle Vue Road,",SALTASH,Cornwall,PL12 6ES,50.40961541021479,-4.213397732398198,,https://www.citizensadvicecornwall.org.uk,,,TRUE,FALSE,FALSE,,27/1/2026,0808 812 7156,,TRUE,FALSE,FALSE,FALSE,,,,,4
Citizens Advice Cornwall (Liskeard),"Duchy House,21 Dean Street,",LISKEARD,Cornwall,PL14 4AB,50.45396497222409,-4.466457419023762,,https://www.citizensadvicecornwall.org.uk,,,TRUE,FALSE,FALSE,,10/12/2025,0808 812 7156,,TRUE,FALSE,FALSE,FALSE,,,,,4
Citizens Advice Cornwall (Truro),"The Library,Union Place,",TRURO,Cornwall,TR1 1EP,50.26499128228624,-5.051386689453371,,https://www.citizensadvicecornwall.org.uk,,,TRUE,FALSE,FALSE,,27/1/2026,0808 812 7156,,TRUE,FALSE,FALSE,FALSE,,,,,4
Citizens Advice Cornwall (Penzance),YMCA Alverton Road,PENZANCE,Cornwall,TR18 4TE,50.11657,-5.54806,,https://www.citizensadvicecornwall.org.uk,,,TRUE,FALSE,FALSE,,27/1/2026,0808 812 7156,,TRUE,FALSE,FALSE,FALSE,,,,,4
Citizens Advice Cornwall (Camborne),"Camborne Community Centre,South Terrace,",CAMBORNE,Cornwall,TR14 8SU,50.21076,-5.29867,,https://www.citizensadvicecornwall.org.uk,,,TRUE,FALSE,FALSE,,27/1/2026,0808 812 7156,,TRUE,FALSE,FALSE,FALSE,,,,,4
